"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Saheeli, the Sun's Brilliance","UR","M","1277","1.05","630","1.03","2825","72.4%","56.2%","464","","638","55.6%","1102","55.5%","1712","56.7%","-1.1pp"
"Sovereign Okinec Ahau","WG","M","1287","1.01","597","1.01","2395","66.9%","54.4%","414","","590","57.3%","1004","57.4%","1374","52.4%","5.0pp"
"Squirming Emergence","BG","R","5783","2.16","942","2.20","2307","41.8%","49.8%","388","","630","54.0%","1018","49.8%","1283","49.6%","0.2pp"
"Uchbenbak, the Great Mistake","UB","U","43430","4.79","5769","6.12","21070","60.1%","55.5%","3310","53.7%","5691","58.3%","9001","56.6%","11960","54.6%","2.0pp"
"Vito, Fanatic of Aclazotz","WB","M","1275","1.01","698","1.01","2960","69.7%","55.4%","493","","811","62.1%","1304","61.4%","1655","50.6%","10.8pp"
"Wail of the Forgotten","UB","R","3039","1.24","571","1.18","1694","51.0%","52.6%","301","","492","","793","53.7%","887","51.4%","2.3pp"
"Zoyowa Lava-Tongue","BR","U","33510","3.46","3222","4.11","13091","68.0%","53.9%","2234","57.7%","3137","55.3%","5371","56.3%","7707","52.1%","4.3pp"
"Buried Treasure","","C","134220","7.40","12027","10.36","16521","21.9%","52.8%","2973","50.3%","3599","51.5%","6572","50.9%","9886","54.1%","-3.1pp"
"Careening Mine Cart","","U","25444","2.91","3393","3.91","15497","74.6%","55.0%","2628","55.7%","3474","53.7%","6102","54.6%","9328","55.3%","-0.7pp"
"Cartographer's Companion","","C","129299","6.68","22300","9.08","74879","53.2%","57.0%","13108","55.0%","16904","56.5%","30012","55.8%","44392","57.7%","-1.9pp"
"Compass Gnome","","C","130797","6.63","22434","8.83","73388","52.0%","56.0%","13582","56.4%","15420","54.1%","29002","55.2%","43985","56.5%","-1.3pp"
"Contested Game Ball","","U","53342","8.32","5723","12.10","338","0.9%","","58","","81","","139","","199","",""
"Digsite Conservator","","U","30637","3.31","2985","4.66","13958","75.4%","56.7%","2544","55.7%","3148","56.4%","5692","56.1%","8197","57.0%","-0.9pp"
"Disruptor Wanderglyph","","C","135685","8.82","12967","12.35","5537","6.7%","52.0%","868","48.4%","1272","51.6%","2140","50.3%","3357","52.9%","-2.7pp"
"Hoverstone Pilgrim","","U","50862","6.55","6944","9.10","15272","34.5%","57.0%","2408","54.7%","3863","58.0%","6271","56.7%","8862","57.0%","-0.3pp"
"Hunter's Blowgun","","C","136542","9.43","18491","12.15","13594","11.5%","54.6%","2372","54.0%","3071","53.7%","5443","53.8%","8112","55.2%","-1.3pp"
"Matzalantli, the Great Door","","R","2928","1.25","542","1.22","1477","47.5%","48.6%","246","","355","","601","48.4%","872","48.6%","-0.2pp"
"The Millennium Calendar","","M","1712","1.45","272","1.40","466","29.8%","","91","","117","","208","","250","",""
"Roaming Throne","","R","2435","1.01","1944","1.01","11705","95.9%","57.3%","1913","59.7%","2907","59.5%","4820","59.6%","6774","55.7%","3.9pp"
"Scampering Surveyor","","U","17797","2.09","3507","2.51","19114","87.9%","58.2%","3259","61.2%","4571","60.4%","7830","60.8%","11099","56.3%","4.4pp"
"Sorcerous Spyglass","","U","55184","9.33","8064","12.33","308","0.6%","","43","","68","","111","","196","",""
"Sunbird Standard","","U","65477","7.64","12533","9.60","21650","27.1%","55.3%","3800","53.8%","5112","57.2%","8912","55.7%","12612","54.9%","0.8pp"
"Swashbuckler's Whip","","U","53653","8.30","7177","11.68","2238","4.9%","50.1%","346","","516","48.1%","862","47.7%","1359","51.6%","-3.9pp"
"Tarrian's Soulcleaver","","R","2677","1.11","1135","1.11","5951","86.0%","54.6%","1048","55.4%","1431","55.6%","2479","55.5%","3437","53.9%","1.6pp"
"Threefold Thunderhulk","","R","2439","1.01","1929","1.01","11576","94.6%","57.5%","1870","56.4%","2882","62.8%","4752","60.3%","6721","55.4%","4.8pp"
"Throne of the Grim Captain","","R","3510","1.51","1045","1.54","2951","46.4%","53.1%","541","59.5%","804","58.0%","1345","58.6%","1566","48.0%","10.6pp"
"Treasure Map","","R","2438","1.02","1156","1.02","5897","86.8%","53.9%","1067","52.6%","1470","52.4%","2537","52.5%","3342","54.8%","-2.3pp"
"Captivating Cave","","C","102682","6.40","21952","9.42","104302","74.8%","56.5%","18359","55.8%","25859","57.6%","44218","56.9%","59679","56.1%","0.7pp"
"Cavern of Souls","","M","1624","1.36","376","1.37","716","31.9%","52.0%","125","","179","","304","","409","",""
"Cavernous Maw","","U","52654","6.83","5854","9.49","11895","32.5%","52.0%","1987","51.4%","3115","54.7%","5102","53.4%","6666","50.7%","2.7pp"
"Echoing Deeps","","R","2828","1.18","265","1.18","329","20.6%","","53","","86","","139","","190","",""
"Forgotten Monument","","U","49909","5.79","4721","8.01","13363","45.6%","53.6%","2325","55.6%","3647","56.1%","5972","55.9%","7259","51.4%","4.5pp"
"Hidden Cataract","","C","107453","6.20","18479","8.49","98270","84.4%","57.8%","17240","58.5%","24885","56.4%","42125","57.3%","55669","58.2%","-1.0pp"
"Hidden Courtyard","","C","107080","6.12","15496","8.57","80417","81.8%","57.4%","14296","57.5%","19363","56.1%","33659","56.7%","46538","57.8%","-1.2pp"
"Hidden Necropolis","","C","106205","6.16","12396","8.37","60563","78.9%","55.6%","10793","57.4%","15918","56.7%","26711","57.0%","33538","54.4%","2.6pp"
"Hidden Nursery","","C","107623","6.18","13043","8.33","65875","82.2%","55.3%","11702","55.4%","16081","54.8%","27783","55.0%","37705","55.5%","-0.4pp"
"Hidden Volcano","","C","107687","6.19","17999","8.48","93920","82.9%","56.9%","16323","57.0%","21568","54.1%","37891","55.4%","55785","57.9%","-2.5pp"
"Pit of Offerings","","U","46533","5.09","3373","7.55","11872","57.4%","51.8%","1932","49.2%","3046","52.1%","4978","51.0%","6834","52.4%","-1.4pp"
"Promising Vein","","C","107310","6.78","19569","10.07","72194","58.5%","54.4%","12839","53.8%","17988","54.7%","30827","54.3%","41112","54.4%","-0.1pp"
"Restless Anchorage","","R","2485","1.01","1140","1.01","4783","67.4%","57.9%","920","62.2%","1181","60.5%","2101","61.2%","2658","55.3%","5.9pp"
"Restless Prairie","","R","2580","1.03","672","1.02","1878","47.0%","54.5%","317","","453","","770","55.8%","1098","53.7%","2.1pp"
